ID : [prediction, actual]
176: [2, [2]]
177: [3, [1]]
178: [4, [1]]
179: [1, [3]]
180: [3, [4]]
181: [2, [2]]
182: [2, [4]]
183: [1, [3]]
184: [4, [1]]
185: [4, [2]]
186: [1, [2]]
187: [3, [2]]
188: [4, [3]]
189: [4, [2]]
191: [4, [2]]
193: [4, '7/6']
194: [1, [1]]
195: [3, [4]]
196: [1, [3]]
198: [4, '4414 B 6621 C.8828 D.4870847\nA:4870847']
199: [3, [3]]
200: [2, [3]]
201: [2, [3]]
202: [4, [1]]
203: [4, [3]]
204: [3, [4]]
206: [3, [2]]
207: [3, [3]]
208: [1, [1]]
209: [1, [2]]
211: [1, '738']
212: [1, [1]]
213: [2, [1]]
214: [1, [3]]
216: [1, '20/81']
217: [1, [4]]
218: [1, [1]]
219: [1, [3]]
220: [4, [4]]
221: [4, [2]]
224: [3, [2]]
225: [1, [4]]
226: [1, [3]]
227: [1, [2]]
228: [1, [1]]
229: [4, [1]]
230: [1, [4]]
231: [3, [3]]
232: [1, [1]]
233: [1, [1]]
234: [1, [3]]
235: [4, [1]]
236: [2, [2]]
237: [3, [2]]
238: [2, [2]]
239: [4, [2]]
240: [1, [1]]
241: [1, [3]]
242: [2, [2]]
243: [2, [4]]
244: [2, [1]]
245: [2, [4]]
246: [1, [4]]
248: [1, [2]]
249: [4, [4]]
253: [0, '36']
254: [4, [2]]
255: [3, [3]]
256: [3, [3]]
258: [3, [1]]
259: [4, [2]]
260: [2, [1]]
263: [1, '1/2']
265: [1, [4]]
266: [1, '-28']
271: [2, '216']
272: [1, '181']
273: [4, [4]]
274: [4, [2]]
276: [1, [2]]
277: [1, '6']
278: [3, [1]]
279: [4, [4]]
281: [4, [1]]
282: [3, '185']
283: [1, [2]]
284: [2, [1]]
286: [2, [2]]
287: [1, '24']
288: [4, [3]]
289: [1, [3]]
293: [1, '20295']
294: [1, '7085']
295: [1, [1]]
296: [1, [4]]
299: [1, [3]]
300: [4, '121√5']
301: [1, [2]]
302: [4, [4]]
305: [1, [4]]
309: [3, [3]]
310: [1, '13']
313: [1, [1]]
314: [1, [3]]
315: [1, '5/64']
316: [1, '227']
317: [1, [4]]
318: [4, [1]]
319: [1, [2]]
320: [1, [2]]
321: [2, [2]]
322: [2, [4]]
323: [1, [3]]
324: [2, [4]]
325: [1, [1]]
326: [2, [1]]
327: [1, [1]]
328: [2, [2]]
329: [1, [2]]
330: [2, [2]]
331: [1, [2]]
332: [3, [3]]
337: [1, '140']
338: [1, '16']
339: [1, '5']
340: [1, '9']
341: [1, [4]]
342: [1, [2]]
343: [4, [3]]
344: [3, [1]]
345: [2, [4]]
346: [1, [1]]
347: [4, [4]]
348: [3, [3]]
350: [3, [2]]
351: [1, [4]]
352: [4, [3]]
353: [4, [4]]
354: [2, [3]]
355: [4, [1]]
356: [1, [4]]
357: [4, [4]]
359: [2, [3]]
360: [1, [1]]
361: [1, [1]]
362: [2, '-219']
365: [1, [2]]
368: [4, [1]]
369: [3, [3]]
370: [3, '20']
371: [2, [3]]
372: [1, [4]]
373: [1, [3]]
374: [1, [3]]
375: [4, [1]]
376: [4, [4]]
377: [1, [3]]
380: [1, [1]]
382: [1, '613']
383: [1, '43']
384: [1, [4]]
385: [2, '730']
386: [1, [1]]
387: [1, [1]]
388: [1, [1]]
390: [4, [4]]
391: [4, [2]]
392: [1, [2]]
393: [2, [3]]
394: [3, [2]]
395: [1, [2]]
396: [1, [2]]
397: [2, [2]]
398: [4, [3]]
399: [4, [2]]
400: [4, [2]]
401: [1, [2]]
402: [1, [4]]
405: [1, [3]]
406: [1, [1]]
407: [4, '187']
408: [1, '1/32']
409: [4, [1]]
410: [4, [3]]
412: [1, [2]]
413: [1, [3]]
414: [2, [3]]
415: [1, [1]]
416: [4, [2]]
417: [1, [4]]
418: [1, [2]]
419: [1, [1]]
420: [1, [4]]
421: [4, [1]]
422: [4, [2]]
423: [2, [1]]
424: [3, [3]]
425: [2, [3]]
426: [1, [4]]
427: [1, [3]]
428: [1, [2]]
429: [4, [4]]
430: [1, [4]]
431: [1, [2]]
432: [2, [1]]
434: [2, [1]]
435: [1, [4]]
436: [2, [2]]
437: [4, '1/4']
438: [1, [4]]
439: [4, [3]]
440: [1, [2]]
442: [1, [2]]
443: [4, [4]]
444: [3, [4]]
445: [3, '-3']
446: [4, [3]]
447: [1, [1]]
448: [1, [3]]
449: [4, [3]]
450: [2, [4]]
453: [1, [2]]
454: [1, [1]]
455: [2, [3]]
457: [1, [2]]
458: [1, [1]]
459: [2, [1]]
460: [1, [2]]
461: [1, [3]]
462: [1, '6']
463: [0, [1]]
467: [0, [4]]
475: [0, '19 21 24']
501: [0, '80']
502: [2, '4725']
503: [1, '0.1']
504: [2, '+12']
506: [4, '88']
507: [2, '11']
508: [3, '2']
509: [1, '27']
510: [1, '12']
511: [1, '-2']
512: [2, '23']
513: [4, '18']
514: [1, '10']
515: [1, '30']
516: [2, [2]]
517: [4, [2]]
518: [1, [2]]
519: [1, [1]]
520: [4, [2]]
521: [1, [2]]
522: [2, [3]]
523: [1, [4]]
524: [4, [3]]
525: [1, [2]]
526: [2, [2]]
527: [2, [4]]
528: [4, [3]]
529: [4, [4]]
530: [3, [3]]
531: [3, [1]]
532: [4, [2]]
533: [3, [1]]
534: [1, [2]]
535: [2, [4]]
536: [1, [3]]
537: [1, [4]]
538: [1, [1]]
539: [1, [1]]
540: [4, [4]]
541: [1, [2]]
542: [4, [3]]
543: [3, [4]]
544: [1, [3]]
546: [2, [3]]
547: [1, [3]]
548: [4, [4]]
549: [2, [1]]
550: [3, [2]]
551: [2, [4]]
552: [4, [2]]
553: [2, [3]]
554: [1, [4]]
555: [1, [3]]
556: [1, [4]]
557: [2, [1]]
558: [3, [2]]
559: [4, [1]]
560: [4, [2]]
561: [4, [3]]
562: [2, [4]]
563: [2, [2]]
564: [2, [3]]
565: [1, [2]]
566: [1, [2]]
567: [4, [4]]
568: [1, [3]]
570: [4, [4]]
571: [3, [3]]
572: [4, [4]]
573: [1, [1]]
574: [1, [3]]
575: [1, [4]]
576: [1, [2]]
577: [4, [4]]
578: [1, [3]]
579: [4, [3]]
580: [1, [3]]
581: [4, [2]]
582: [4, [3]]
583: [4, [2]]
584: [1, [2]]
585: [4, [2]]
586: [1, [1]]
587: [4, [2]]
588: [4, [4]]
590: [2, [3]]
591: [1, [4]]
592: [2, [2]]
593: [1, [2]]
594: [1, [4]]
595: [2, [3]]
596: [3, [1]]
597: [3, [4]]
598: [1, [3]]
599: [3, [2]]
600: [2, [2]]
601: [3, [1]]
602: [2, [4]]
603: [2, [3]]
604: [4, [1]]
611: [4, [3]]
612: [6, [4]]
613: [1, [2]]
614: [6, [4]]
625: [2, '60']
629: [3, '14']
630: [3, [4]]
631: [4, [5]]
632: [3, [2]]
633: [3, [3]]
634: [1, [3]]
635: [1, '14']
636: [0, '7']
637: [4, '23']
638: [4, [3]]
639: [0, [3]]
641: [1, [4]]
642: [4, [1]]
643: [1, [2]]
644: [1, [4]]
645: [3, [2]]
646: [4, [3]]
647: [2, [4]]
648: [4, [3]]
649: [1, [4]]
650: [4, [3]]
652: [3, [3]]
653: [3, [1]]
654: [2, [4]]
656: [4, [2]]
658: [1, [1]]
659: [1, '6']
660: [2, [2]]
661: [4, [2]]
662: [2, [4]]
663: [4, [2]]
664: [1, [2]]
665: [1, [2]]
666: [2, [3]]
667: [2, [4]]
668: [1, [1]]
669: [2, [4]]
670: [1, [4]]
671: [4, [3]]
672: [2, [3]]
674: [4, '525/4']
675: [3, [4]]
676: [1, [4]]
678: [3, [3]]
679: [3, [4]]
680: [1, [2]]
681: [1, [3]]
682: [1, [3]]
684: [2, [4]]
685: [1, [3]]
686: [2, [4]]
687: [3, [4]]
688: [2, [3]]
689: [4, [3]]
690: [2, [3]]
691: [1, [3]]
692: [1, [1]]
693: [4, [1]]
694: [3, [3]]
695: [1, [2]]
696: [2, [1]]
697: [0, [2]]
698: [4, [3]]
699: [2, [2]]
700: [4, [3]]
701: [2, [3]]
702: [2, [1]]
703: [4, [2]]
704: [3, [3]]
705: [2, [2]]
706: [1, [1]]
707: [4, [2]]
708: [2, [3]]
709: [1, [3]]
710: [4, [3]]
711: [1, [1]]
712: [2, [4]]
714: [2, [2]]
716: [1, [4]]
717: [1, [4]]
719: [3, [2]]
720: [1, [4]]
721: [1, [1]]
722: [1, [4]]
723: [2, [3]]
724: [1, [2]]
725: [3, [4]]
726: [3, [2]]
727: [4, [3]]
728: [4, [2]]
729: [3, [2]]
730: [4, [2]]
731: [1, [4]]
732: [2, '36']
733: [4, [2]]
734: [1, [3]]
735: [1, [3]]
736: [2, [2]]
737: [1, [2]]
738: [1, [1]]
739: [2, [4]]
740: [1, [3]]
741: [2, [3]]
742: [2, [1]]
743: [4, [2]]
744: [1, [2]]
745: [1, [3]]
746: [2, [4]]
748: [2, [3]]
749: [4, [3]]
750: [1, [2]]
751: [4, [4]]
752: [1, [2]]
753: [3, [2]]
754: [1, [2]]
755: [1, [4]]
756: [1, [3]]
758: [4, [3]]
759: [4, [3]]
760: [4, [3]]
761: [1, [3]]
762: [1, [2]]
763: [4, [3]]
764: [1, [2]]
765: [1, [1]]
766: [4, [1]]
767: [1, [2]]
768: [4, [1]]
769: [0, [2]]
770: [1, [1]]
771: [1, [2]]
772: [4, [2]]
773: [1, [4]]
774: [1, [3]]
776: [3, [3]]
777: [1, [2]]
778: [1, [4]]
780: [2, [3]]
781: [3, [1]]
782: [4, [3]]
783: [4, [1]]
784: [2, [3]]
785: [4, [3]]
786: [1, [4]]
787: [3, [3]]
788: [1, [1]]
789: [1, [2]]
790: [4, [1]]
791: [4, [4]]
792: [3, [1]]
793: [0, [1]]
795: [4, [4]]
796: [4, [3]]
797: [1, [3]]
798: [2, [4]]
799: [1, [3]]
800: [3, [4]]
801: [1, [1]]
802: [1, [2]]
803: [3, [2]]
804: [1, [1]]
805: [1, [2]]
806: [2, [1]]
807: [3, [3]]
808: [1, [3]]
809: [4, [4]]
810: [3, [3]]
811: [2, [3]]
812: [4, [3]]
813: [3, [3]]
814: [1, [4]]
815: [2, [4]]
816: [0, [2]]
817: [4, [1]]
818: [0, [2]]
819: [2, [3]]
820: [2, [3]]
821: [2, [4]]
822: [3, [3]]
823: [3, [1]]
824: [1, [4]]
825: [3, [4]]
826: [2, [4]]
827: [1, [3]]
828: [3, [3]]
829: [2, [2]]
830: [1, [1]]
831: [1, [1]]
832: [3, [3]]
833: [0, [4]]
834: [2, [2]]
835: [1, [4]]
836: [4, [4]]
837: [4, [3]]
838: [1, [2]]
839: [1, [2]]
840: [1, [4]]
841: [1, [3]]
842: [1, [1]]
843: [4, [3]]
844: [4, [4]]
845: [1, [2]]
846: [1, [2]]
847: [1, [3]]
848: [2, [2]]
849: [3, [4]]
850: [4, [1]]
851: [3, [4]]
852: [2, [2]]
853: [4, [2]]
855: [2, [4]]
856: [0, [3]]
857: [4, [3]]
858: [1, [2]]
859: [1, [2]]
860: [1, [1]]
861: [1, [1]]
862: [0, [3]]
863: [1, [1]]
864: [1, [1]]
865: [2, [3]]
866: [1, [3]]
867: [3, [3]]
868: [4, [4]]
869: [1, [1]]
870: [1, [1]]
871: [2, [2]]
872: [1, [4]]
873: [4, [1]]
874: [3, [4]]
875: [3, [2]]
876: [1, [4]]
877: [1, [3]]
878: [1, [1]]
879: [1, [1]]
881: [1, [4]]
882: [1, [2]]
883: [1, [1]]
884: [2, [4]]
885: [2, [2]]
886: [4, [3]]
887: [1, [2]]
888: [4, [2]]
889: [1, [1]]
890: [4, [3]]
898: [4, [3]]
899: [4, [3]]
900: [4, [2]]
901: [4, [3]]
902: [1, [2]]
904: [2, [2]]
905: [1, [2]]
906: [2, [2]]
907: [4, [4]]
908: [2, [2]]
909: [2, [2]]
910: [1, '162']
911: [2, [2]]
912: [1, [3]]
914: [3, [4]]
915: [4, [3]]
916: [1, [2]]
917: [4, [4]]
918: [1, [1]]
919: [2, [1]]
920: [1, [2]]
921: [1, [1]]
922: [1, '0']
923: [3, [3]]
924: [4, [4]]
926: [1, [2]]
927: [1, [2]]
928: [4, [1]]
929: [1, [2]]
930: [2, [4]]
931: [1, [3]]
932: [3, '-28']
933: [1, [2]]
934: [1, [2]]
935: [1, [2]]
936: [4, [4]]
937: [2, [2]]
938: [4, [4]]
939: [1, [1]]
940: [4, [2]]
941: [1, [4]]
942: [2, [1]]
943: [4, [3]]
944: [1, [3]]
945: [0, [1]]
947: [1, [2]]
948: [2, [4]]
949: [3, [4]]
950: [3, [4]]
951: [3, [2]]
952: [1, [4]]
956: [4, [1]]
958: [1, [2]]
959: [4, [4]]
960: [2, [1]]
961: [4, [1]]
962: [1, [3]]
963: [3, [3]]
964: [1, [4]]
965: [1, [3]]
966: [1, [2]]
967: [1, [1]]
968: [1, [3]]
969: [2, [3]]
970: [2, [4]]
971: [3, [2]]
972: [3, '130']
973: [3, '163']
974: [1, '33132']
975: [4, [1]]
976: [1, [4]]
977: [1, [2]]
978: [4, [3]]
979: [1, [1]]
981: [1, [2]]
982: [4, [3]]
984: [4, [2]]
985: [2, [2]]
986: [1, [3]]
987: [1, [3]]
988: [2, [3]]
989: [4, [3]]
990: [2, [3]]
991: [1, [2]]
992: [2, [2]]
993: [1, [2]]
994: [2, [1]]
995: [2, [4]]
996: [2, [4]]
997: [2, [3]]
998: [3, [4]]
999: [1, [1]]
1000: [3, [3]]
1001: [1, [1]]
1002: [2, [3]]
1003: [3, [2]]
1004: [4, [2]]
1005: [1, [1]]
1006: [4, [1]]
1007: [1, [4]]
1008: [2, [2]]
1009: [4, [3]]
1010: [1, [4]]
1011: [4, [1]]
1012: [4, [1]]
1013: [4, [4]]
1014: [3, [4]]
1016: [1, [3]]
1017: [1, [3]]
1019: [1, [4]]
1020: [1, [1]]
1021: [2, [1]]
1022: [1, [3]]
1023: [1, [4]]
1024: [4, [3]]
1025: [1, [3]]
1026: [4, [3]]
1027: [1, [4]]
1028: [1, [3]]
1029: [2, [2]]
1030: [1, [2]]
1031: [2, [2]]
1032: [3, [1]]
1033: [3, [3]]
1034: [2, '16']
1035: [3, [3]]
1036: [4, [2]]
1037: [4, [2]]
1038: [1, [2]]
1039: [1, [1]]
1040: [1, [2]]
1041: [3, [2]]
1042: [1, [1]]
1043: [4, [2]]
1044: [4, [3]]
1045: [1, [2]]
1046: [4, [4]]
1047: [4, [1]]
1048: [2, [2]]
1049: [2, [4]]
1050: [1, [4]]
1051: [1, [2]]
1052: [3, [4]]
1056: [0, [1]]
1057: [4, [1]]
1058: [4, [4]]
1060: [4, [4]]
1061: [4, [2]]
1062: [1, [1]]
1063: [4, [3]]
1064: [4, [3]]
1067: [4, [4]]
1068: [3, [3]]
1069: [3, [1]]
1070: [4, [2]]
1073: [0, '1']
1074: [4, '122']
1075: [2, '120']
